sampling,regime,pair_id,model,ops_total,theme,story_correct,literal_correct,story_bucket,literal_bucket
uniform,off,E10-E4044,anthropic/claude-haiku-4.5,,paint,False,True,wrong,correct-swapped
uniform,off,E10-E4044,deepseek/deepseek-chat-v3.1,,paint,True,True,exact,correct-swapped
uniform,off,E10-E4044,google/gemini-2.5-flash,,paint,False,False,wrong,wrong
uniform,off,E10-E4044,meta-llama/llama-3.3-70b-instruct,,paint,False,False,unparseable,unparseable
uniform,off,E10-E4044,mistralai/mistral-small-3.2-24b-instruct,,paint,False,False,wrong,wrong
uniform,off,E10-E4044,openai/gpt-4o-mini,,paint,False,True,wrong,exact
uniform,off,E10-E4044,openai/gpt-5-mini,,paint,False,True,wrong,correct-swapped
uniform,off,E10-E4044,qwen/qwen3-32b,,paint,False,True,wrong,correct-swapped
uniform,off,E1141-E2309,anthropic/claude-haiku-4.5,,tea,True,True,correct-swapped,correct-swapped
uniform,off,E1141-E2309,deepseek/deepseek-chat-v3.1,,tea,True,False,exact,wrong
uniform,off,E1141-E2309,google/gemini-2.5-flash,,tea,True,True,correct-swapped,exact
uniform,off,E1141-E2309,meta-llama/llama-3.3-70b-instruct,,tea,True,False,correct-swapped,wrong
uniform,off,E1141-E2309,mistralai/mistral-small-3.2-24b-instruct,,tea,False,False,wrong,wrong
uniform,off,E1141-E2309,openai/gpt-4o-mini,,tea,False,False,wrong,wrong
uniform,off,E1141-E2309,openai/gpt-5-mini,,tea,False,False,wrong,unparseable
uniform,off,E1141-E2309,qwen/qwen3-32b,,tea,False,False,wrong,unparseable
uniform,off,E1145-E777,anthropic/claude-haiku-4.5,,paint,True,False,correct-swapped,wrong
uniform,off,E1145-E777,deepseek/deepseek-chat-v3.1,,paint,True,True,exact,exact
uniform,off,E1145-E777,google/gemini-2.5-flash,,paint,True,True,exact,exact
uniform,off,E1145-E777,meta-llama/llama-3.3-70b-instruct,,paint,True,True,correct-swapped,exact
