sampling,regime,model,n,both_correct,literal_only,story_only,neither,story_accuracy,literal_accuracy,literal_correct_n,literal_wrong_n,p_story_given_literal_correct,p_story_given_literal_wrong,risk_difference,phi
uniform,off,anthropic/claude-haiku-4.5,30,3,13,2,12,0.16666666666666666,0.5333333333333333,16,14,0.1875,0.14285714285714285,0.04464285714285715,0.05976143046671968
uniform,off,deepseek/deepseek-chat-v3.1,30,12,6,5,7,0.5666666666666667,0.6,18,12,0.6666666666666666,0.4166666666666667,0.24999999999999994,0.24715576637149037
uniform,off,google/gemini-2.5-flash,30,16,9,1,4,0.5666666666666667,0.8333333333333334,25,5,0.64,0.2,0.44,0.3309112606779028
uniform,off,meta-llama/llama-3.3-70b-instruct,30,3,6,2,19,0.16666666666666666,0.3,9,21,0.3333333333333333,0.09523809523809523,0.23809523809523808,0.2927700218845599
uniform,off,mistralai/mistral-small-3.2-24b-instruct,30,1,6,1,22,0.06666666666666667,0.23333333333333334,7,23,0.14285714285714285,0.043478260869565216,0.09937888198757763,0.16850509274845385
uniform,off,openai/gpt-4o-mini,30,0,2,0,28,0.0,0.06666666666666667,2,28,0.0,0.0,0.0,
uniform,off,openai/gpt-5-mini,30,3,5,2,20,0.16666666666666666,0.26666666666666666,8,22,0.375,0.09090909090909091,0.28409090909090906,0.337099931231621
uniform,off,qwen/qwen3-32b,30,0,6,1,23,0.03333333333333333,0.2,6,24,0.0,0.041666666666666664,-0.041666666666666664,-0.09284766908852594
uniform,on,anthropic/claude-haiku-4.5,30,30,0,0,0,1.0,1.0,30,0,1.0,,,
uniform,on,deepseek/deepseek-chat-v3.1,29,29,0,0,0,1.0,1.0,29,0,1.0,,,
uniform,on,google/gemini-2.5-flash,30,30,0,0,0,1.0,1.0,30,0,1.0,,,
uniform,on,meta-llama/llama-3.3-70b-instruct,30,27,1,2,0,0.9666666666666667,0.9333333333333333,28,2,0.9642857142857143,1.0,-0.0357142857142857,-0.04962916669854651
uniform,on,mistralai/mistral-small-3.2-24b-instruct,30,28,2,0,0,0.9333333333333333,1.0,30,0,0.9333333333333333,,,
uniform,on,openai/gpt-4o-mini,30,21,9,0,0,0.7,1.0,30,0,0.7,,,
uniform,on,openai/gpt-5-mini,30,30,0,0,0,1.0,1.0,30,0,1.0,,,
uniform,on,qwen/qwen3-32b,30,30,0,0,0,1.0,1.0,30,0,1.0,,,
stratified,off,anthropic/claude-haiku-4.5,24,9,9,1,5,0.4166666666666667,0.75,18,6,0.5,0.16666666666666666,0.33333333333333337,0.29277002188455997
stratified,off,deepseek/deepseek-chat-v3.1,24,14,7,0,3,0.5833333333333334,0.875,21,3,0.6666666666666666,0.0,0.6666666666666666,0.4472135954999579
stratified,off,google/gemini-2.5-flash,24,16,3,3,2,0.7916666666666666,0.7916666666666666,19,5,0.8421052631578947,0.6,0.2421052631578947,0.24210526315789474
stratified,off,meta-llama/llama-3.3-70b-instruct,24,9,9,3,3,0.5,0.75,18,6,0.5,0.5,0.0,0.0
stratified,off,mistralai/mistral-small-3.2-24b-instruct,24,5,5,1,13,0.25,0.4166666666666667,10,14,0.5,0.07142857142857142,0.4285714285714286,0.4879500364742666
stratified,off,openai/gpt-4o-mini,24,3,5,3,13,0.25,0.3333333333333333,8,16,0.375,0.1875,0.1875,0.2041241452319315
stratified,off,openai/gpt-5-mini,24,3,13,3,5,0.25,0.6666666666666666,16,8,0.1875,0.375,-0.1875,-0.2041241452319315
stratified,off,qwen/qwen3-32b,24,3,6,0,15,0.125,0.375,9,15,0.3333333333333333,0.0,0.3333333333333333,0.4879500364742666
stratified,on,anthropic/claude-haiku-4.5,24,24,0,0,0,1.0,1.0,24,0,1.0,,,
stratified,on,deepseek/deepseek-chat-v3.1,24,24,0,0,0,1.0,1.0,24,0,1.0,,,
stratified,on,google/gemini-2.5-flash,24,24,0,0,0,1.0,1.0,24,0,1.0,,,
stratified,on,meta-llama/llama-3.3-70b-instruct,24,24,0,0,0,1.0,1.0,24,0,1.0,,,
stratified,on,mistralai/mistral-small-3.2-24b-instruct,24,23,1,0,0,0.9583333333333334,1.0,24,0,0.9583333333333334,,,
stratified,on,openai/gpt-4o-mini,24,19,5,0,0,0.7916666666666666,1.0,24,0,0.7916666666666666,,,
stratified,on,openai/gpt-5-mini,24,24,0,0,0,1.0,1.0,24,0,1.0,,,
stratified,on,qwen/qwen3-32b,24,23,0,1,0,1.0,0.9583333333333334,23,1,1.0,1.0,0.0,
