sampling,regime,model,n,both_correct,literal_only,story_only,neither,story_accuracy,literal_accuracy,literal_correct_n,literal_wrong_n,p_story_given_literal_correct,p_story_given_literal_wrong,risk_difference,phi
uniform,off,anthropic/claude-haiku-4.5,30,3,13,2,12,0.16666666666666666,0.5333333333333333,16,14,0.1875,0.14285714285714285,0.04464285714285715,0.05976143046671968
uniform,off,deepseek/deepseek-chat-v3.1,30,12,6,5,7,0.5666666666666667,0.6,18,12,0.6666666666666666,0.4166666666666667,0.24999999999999994,0.24715576637149037
uniform,off,google/gemini-2.5-flash,30,16,9,1,4,0.5666666666666667,0.8333333333333334,25,5,0.64,0.2,0.44,0.3309112606779028
uniform,off,meta-llama/llama-3.3-70b-instruct,30,3,6,2,19,0.16666666666666666,0.3,9,21,0.3333333333333333,0.09523809523809523,0.23809523809523808,0.2927700218845599
uniform,off,mistralai/mistral-small-3.2-24b-instruct,30,1,6,1,22,0.06666666666666667,0.23333333333333334,7,23,0.14285714285714285,0.043478260869565216,0.09937888198757763,0.16850509274845385
uniform,off,openai/gpt-4o-mini,30,0,2,0,28,0.0,0.06666666666666667,2,28,0.0,0.0,0.0,
uniform,off,openai/gpt-5-mini,30,3,5,2,20,0.16666666666666666,0.26666666666666666,8,22,0.375,0.09090909090909091,0.28409090909090906,0.337099931231621
uniform,off,qwen/qwen3-32b,30,0,6,1,23,0.03333333333333333,0.2,6,24,0.0,0.041666666666666664,-0.041666666666666664,-0.09284766908852594
uniform,on,anthropic/claude-haiku-4.5,30,30,0,0,0,1.0,1.0,30,0,1.0,,,
uniform,on,deepseek/deepseek-chat-v3.1,29,29,0,0,0,1.0,1.0,29,0,1.0,,,
uniform,on,google/gemini-2.5-flash,30,30,0,0,0,1.0,1.0,30,0,1.0,,,
uniform,on,meta-llama/llama-3.3-70b-instruct,30,27,1,2,0,0.9666666666666667,0.9333333333333333,28,2,0.9642857142857143,1.0,-0.0357142857142857,-0.04962916669854651
uniform,on,mistralai/mistral-small-3.2-24b-instruct,30,28,2,0,0,0.9333333333333333,1.0,30,0,0.9333333333333333,,,
uniform,on,openai/gpt-4o-mini,30,21,9,0,0,0.7,1.0,30,0,0.7,,,
uniform,on,openai/gpt-5-mini,30,30,0,0,0,1.0,1.0,30,0,1.0,,,
uniform,on,qwen/qwen3-32b,30,30,0,0,0,1.0,1.0,30,0,1.0,,,
stratified,off,anthropic/claude-haiku-4.5,40,22,11,1,6,0.575,0.825,33,7,0.6666666666666666,0.14285714285714285,0.5238095238095237,0.4026159739226435
stratified,off,deepseek/deepseek-chat-v3.1,40,29,7,1,3,0.75,0.9,36,4,0.8055555555555556,0.25,0.5555555555555556,0.3849001794597505
stratified,off,google/gemini-2.5-flash,40,30,4,3,3,0.825,0.85,34,6,0.8823529411764706,0.5,0.38235294117647056,0.35931349533480833
stratified,off,meta-llama/llama-3.3-70b-instruct,40,20,12,4,4,0.6,0.8,32,8,0.625,0.5,0.125,0.10206207261596577
stratified,off,mistralai/mistral-small-3.2-24b-instruct,40,13,11,2,14,0.375,0.6,24,16,0.5416666666666666,0.125,0.41666666666666663,0.42163702135578396
stratified,off,openai/gpt-4o-mini,40,12,11,3,14,0.375,0.575,23,17,0.5217391304347826,0.17647058823529413,0.34526854219948844,0.3525573360346028
stratified,off,openai/gpt-5-mini,40,14,14,5,7,0.475,0.7,28,12,0.5,0.4166666666666667,0.08333333333333331,0.07647191129018725
stratified,off,qwen/qwen3-32b,40,10,11,1,18,0.275,0.525,21,19,0.47619047619047616,0.05263157894736842,0.42355889724310775,0.47370166938718344
stratified,on,anthropic/claude-haiku-4.5,40,39,1,0,0,0.975,1.0,40,0,0.975,,,
stratified,on,deepseek/deepseek-chat-v3.1,40,40,0,0,0,1.0,1.0,40,0,1.0,,,
stratified,on,google/gemini-2.5-flash,40,40,0,0,0,1.0,1.0,40,0,1.0,,,
stratified,on,meta-llama/llama-3.3-70b-instruct,40,38,2,0,0,0.95,1.0,40,0,0.95,,,
stratified,on,mistralai/mistral-small-3.2-24b-instruct,40,36,2,1,1,0.925,0.95,38,2,0.9473684210526315,0.5,0.4473684210526315,0.3701780228629408
stratified,on,openai/gpt-4o-mini,40,35,5,0,0,0.875,1.0,40,0,0.875,,,
stratified,on,openai/gpt-5-mini,40,40,0,0,0,1.0,1.0,40,0,1.0,,,
stratified,on,qwen/qwen3-32b,40,34,5,1,0,0.875,0.975,39,1,0.8717948717948718,1.0,-0.1282051282051282,-0.060522753266880246
